Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
03/12/2013,-16.775,179.350,29.0063,0.6933,0.0000,0
03/13/2013,-16.775,179.350,29.0676,0.6564,0.0000,0
03/14/2013,-16.775,179.350,29.0072,0.6890,0.0000,0
03/15/2013,-16.775,179.350,28.7072,0.1567,0.0000,0
03/16/2013,-16.775,179.350,29.5560,0.9917,0.0000,0
03/17/2013,-16.775,179.350,29.4865,1.2256,0.0000,0
03/18/2013,-16.775,179.350,29.2534,0.7128,0.0000,0
03/19/2013,-16.775,179.350,29.1358,0.8094,0.0000,0
03/20/2013,-16.775,179.350,29.3363,1.0894,0.0000,0
03/21/2013,-16.775,179.350,29.2783,0.9248,0.0000,0
03/22/2013,-16.775,179.350,28.9391,0.8068,0.0000,0
03/23/2013,-16.775,179.350,29.3662,1.1494,0.0000,0
03/24/2013,-16.775,179.350,29.0654,0.9320,0.0000,0
03/25/2013,-16.775,179.350,28.5886,0.3940,0.0000,0
03/26/2013,-16.775,179.350,27.9223,0.1897,0.0000,0
03/27/2013,-16.775,179.350,28.1736,0.0973,0.0000,0
03/28/2013,-16.775,179.350,28.3368,0.0862,0.0000,0
03/29/2013,-16.775,179.350,27.2716,0.0000,0.0000,0
03/30/2013,-16.775,179.350,28.4310,0.0000,0.0000,0
03/31/2013,-16.775,179.350,28.3982,0.3819,0.0000,0
04/01/2013,-16.775,179.350,28.2712,0.5129,0.0000,0
04/02/2013,-16.775,179.350,28.7955,0.3909,0.0000,0
04/03/2013,-16.775,179.350,29.0891,0.3366,0.0000,0
04/04/2013,-16.775,179.350,28.4099,0.3773,0.0000,0
04/05/2013,-16.775,179.350,29.0497,0.6330,0.0000,0
04/06/2013,-16.775,179.350,29.0649,0.8069,0.0000,0
04/07/2013,-16.775,179.350,29.5281,0.6842,0.0000,0
04/08/2013,-16.775,179.350,28.9436,0.4420,0.0000,0
04/09/2013,-16.775,179.350,29.4280,0.3853,0.0000,0
04/10/2013,-16.775,179.350,29.1354,0.3948,0.0000,0
04/11/2013,-16.775,179.350,28.1154,0.3670,0.0000,0
04/12/2013,-16.775,179.350,28.5336,0.4139,0.0000,0
04/13/2013,-16.775,179.350,29.5361,0.3158,0.0000,0
04/14/2013,-16.775,179.350,28.8275,0.1734,0.0000,0
04/15/2013,-16.775,179.350,28.7449,0.7495,0.0000,0
04/16/2013,-16.775,179.350,29.2420,0.5128,0.0000,0
04/17/2013,-16.775,179.350,29.3397,0.6609,0.0000,0
04/18/2013,-16.775,179.350,29.6146,0.6913,0.0000,0
04/19/2013,-16.775,179.350,28.8892,0.3875,0.0000,0
04/20/2013,-16.775,179.350,29.2677,0.5769,0.0000,0
04/21/2013,-16.775,179.350,28.7729,0.5767,0.0000,0
04/22/2013,-16.775,179.350,28.7386,0.5273,0.0000,0
04/23/2013,-16.775,179.350,29.6365,0.4729,0.0000,0
04/24/2013,-16.775,179.350,28.7969,0.4135,0.0000,0
04/25/2013,-16.775,179.350,28.6741,0.4612,0.0000,0
04/26/2013,-16.775,179.350,28.3538,0.2797,0.0000,0
04/27/2013,-16.775,179.350,28.3073,0.1325,0.0000,0
04/28/2013,-16.775,179.350,28.5967,0.1870,0.0000,0
04/29/2013,-16.775,179.350,28.7255,0.1114,0.0000,0
04/30/2013,-16.775,179.350,28.7514,0.1254,0.0000,0
05/01/2013,-16.775,179.350,28.7758,0.2613,0.0000,0
05/02/2013,-16.775,179.350,28.4274,0.0000,0.0000,0
05/03/2013,-16.775,179.350,28.4353,0.0081,0.0000,0
05/04/2013,-16.775,179.350,28.7824,0.0000,0.0000,0
05/05/2013,-16.775,179.350,28.9245,0.3473,0.0000,0
05/06/2013,-16.775,179.350,29.0455,0.1478,0.0000,0
05/07/2013,-16.775,179.350,28.1664,0.0000,0.0000,0
05/08/2013,-16.775,179.350,28.5544,0.0000,0.0000,0
05/09/2013,-16.775,179.350,28.8316,0.0321,0.0000,0
