Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
03/12/2013,0.150,-90.625,27.4447,0.9619,0.0000,0
03/13/2013,0.150,-90.625,27.5086,1.4456,0.0000,0
03/14/2013,0.150,-90.625,27.9877,1.5447,0.0000,0
03/15/2013,0.150,-90.625,27.3922,1.2531,0.0000,0
03/16/2013,0.150,-90.625,26.9545,0.6652,0.0000,0
03/17/2013,0.150,-90.625,27.3923,0.9767,0.0000,0
03/18/2013,0.150,-90.625,26.7407,0.5630,0.0000,0
03/19/2013,0.150,-90.625,27.2639,0.8654,0.0000,0
03/20/2013,0.150,-90.625,26.5914,0.4734,0.0000,0
03/21/2013,0.150,-90.625,26.5836,0.0735,0.0000,0
03/22/2013,0.150,-90.625,27.3363,0.9049,0.0000,0
03/23/2013,0.150,-90.625,26.7265,0.3664,0.0000,0
03/24/2013,0.150,-90.625,26.8303,0.5724,0.0000,0
03/25/2013,0.150,-90.625,26.8124,0.6804,0.0000,0
03/26/2013,0.150,-90.625,27.0819,0.1521,0.0000,0
03/27/2013,0.150,-90.625,26.2702,0.0000,0.0000,0
03/28/2013,0.150,-90.625,25.9584,0.0000,0.0000,0
03/29/2013,0.150,-90.625,25.4667,0.0000,0.0000,0
03/30/2013,0.150,-90.625,25.3972,0.0000,0.0000,0
03/31/2013,0.150,-90.625,25.0030,0.0000,0.0000,0
04/01/2013,0.150,-90.625,25.2696,0.0000,0.0000,0
04/02/2013,0.150,-90.625,25.2838,0.0000,0.0000,0
04/03/2013,0.150,-90.625,25.6055,0.0000,0.0000,0
04/04/2013,0.150,-90.625,25.9812,0.0000,0.0000,0
04/05/2013,0.150,-90.625,25.7776,0.0000,0.0000,0
04/06/2013,0.150,-90.625,26.1182,0.0000,0.0000,0
04/07/2013,0.150,-90.625,26.9185,0.0356,0.0000,0
04/08/2013,0.150,-90.625,26.0545,0.2629,0.0000,0
04/09/2013,0.150,-90.625,26.6391,0.3064,0.0000,0
04/10/2013,0.150,-90.625,26.7186,0.4084,0.0000,0
04/11/2013,0.150,-90.625,26.7217,0.2244,0.0000,0
04/12/2013,0.150,-90.625,26.7084,0.2030,0.0000,0
04/13/2013,0.150,-90.625,26.6726,0.1494,0.0000,0
04/14/2013,0.150,-90.625,26.3287,0.0000,0.0000,0
04/15/2013,0.150,-90.625,26.5581,0.0000,0.0000,0
04/16/2013,0.150,-90.625,26.3215,0.0000,0.0000,0
04/17/2013,0.150,-90.625,26.3079,0.0000,0.0000,0
04/18/2013,0.150,-90.625,26.5130,0.1115,0.0000,0
04/19/2013,0.150,-90.625,26.5525,0.2506,0.0000,0
04/20/2013,0.150,-90.625,26.4907,0.1285,0.0000,0
04/21/2013,0.150,-90.625,26.7888,0.7305,0.0000,0
04/22/2013,0.150,-90.625,26.5185,0.2230,0.0000,0
04/23/2013,0.150,-90.625,25.6435,0.0000,0.0000,0
04/24/2013,0.150,-90.625,25.8172,0.0000,0.0000,0
04/25/2013,0.150,-90.625,25.1599,0.0000,0.0000,0
04/26/2013,0.150,-90.625,25.3373,0.0000,0.0000,0
04/27/2013,0.150,-90.625,25.8429,0.0000,0.0000,0
04/28/2013,0.150,-90.625,25.0109,0.0000,0.0000,0
04/29/2013,0.150,-90.625,24.7913,0.0000,0.0000,0
04/30/2013,0.150,-90.625,24.6935,0.0000,0.0000,0
05/01/2013,0.150,-90.625,23.9861,0.0000,0.0000,0
05/02/2013,0.150,-90.625,24.3024,0.0000,0.0000,0
05/03/2013,0.150,-90.625,24.5508,0.0000,0.0000,0
05/04/2013,0.150,-90.625,23.8235,0.0000,0.0000,0
05/05/2013,0.150,-90.625,23.9117,0.0000,0.0000,0
05/06/2013,0.150,-90.625,23.5723,0.0000,0.0000,0
05/07/2013,0.150,-90.625,23.2996,0.0000,0.0000,0
05/08/2013,0.150,-90.625,24.8689,0.0000,0.0000,0
05/09/2013,0.150,-90.625,23.9607,0.0000,0.0000,0
05/10/2013,0.150,-90.625,23.6719,0.0000,0.0000,0
05/11/2013,0.150,-90.625,23.8279,0.0000,0.0000,0
05/12/2013,0.150,-90.625,23.6571,0.0000,0.0000,0
05/13/2013,0.150,-90.625,23.3756,0.0000,0.0000,0
05/14/2013,0.150,-90.625,23.4494,0.0000,0.0000,0
05/15/2013,0.150,-90.625,23.4147,0.0000,0.0000,0
05/16/2013,0.150,-90.625,23.4457,0.0000,0.0000,0
05/17/2013,0.150,-90.625,23.6249,0.0000,0.0000,0
