Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
3/12/13,-16.1,145.95,29.278,0.6649,0,0
3/13/13,-16.1,145.95,28.9086,0.2774,0,0
3/14/13,-16.1,145.95,29.076,0.4724,0,0
3/15/13,-16.1,145.95,28.8417,0.1351,0,0
3/16/13,-16.1,145.95,29.0365,0.3688,0,0
3/17/13,-16.1,145.95,28.7807,0.1089,0,0
3/18/13,-16.1,145.95,29.2601,0.3837,0,0
3/19/13,-16.1,145.95,28.6176,0,0,0
3/20/13,-16.1,145.95,28.8225,0.1859,0,0
3/21/13,-16.1,145.95,28.9649,0.2412,0,0
3/22/13,-16.1,145.95,28.6197,0.0354,0,0
3/23/13,-16.1,145.95,28.494,0,0,0
3/24/13,-16.1,145.95,28.2041,0,0,0
3/25/13,-16.1,145.95,28.9065,0.1127,0,0
3/26/13,-16.1,145.95,28.7505,0.1893,0,0
3/27/13,-16.1,145.95,28.5872,0,0,0
3/28/13,-16.1,145.95,28.6672,0.0476,0,0
3/29/13,-16.1,145.95,28.7061,0.1649,0,0
3/30/13,-16.1,145.95,28.8346,0.2251,0,0
3/31/13,-16.1,145.95,28.6628,0.043,0,0
4/1/13,-16.1,145.95,28.348,0,0,0
4/2/13,-16.1,145.95,28.209,0,0,0
4/3/13,-16.1,145.95,27.6267,0,0,0
4/4/13,-16.1,145.95,27.8416,0,0,0
4/5/13,-16.1,145.95,27.7741,0,0,0
4/6/13,-16.1,145.95,27.5148,0,0,0
4/7/13,-16.1,145.95,27.9849,0,0,0
4/8/13,-16.1,145.95,28.479,0,0,0
4/9/13,-16.1,145.95,28.2673,0,0,0
4/10/13,-16.1,145.95,28.702,0,0,0
4/11/13,-16.1,145.95,28.3574,0,0,0
4/12/13,-16.1,145.95,27.8471,0,0,0
4/13/13,-16.1,145.95,28.3827,0,0,0
4/14/13,-16.1,145.95,27.6549,0,0,0
4/15/13,-16.1,145.95,27.457,0,0,0
4/16/13,-16.1,145.95,27.4156,0,0,0
4/17/13,-16.1,145.95,27.5677,0,0,0
4/18/13,-16.1,145.95,27.4616,0,0,0
4/19/13,-16.1,145.95,27.7585,0,0,0
4/20/13,-16.1,145.95,28.2123,0,0,0
4/21/13,-16.1,145.95,27.8168,0,0,0
4/22/13,-16.1,145.95,27.7332,0,0,0
4/23/13,-16.1,145.95,27.8951,0,0,0
4/24/13,-16.1,145.95,27.8103,0,0,0
4/25/13,-16.1,145.95,27.6517,0,0,0
4/26/13,-16.1,145.95,27.7152,0,0,0
4/27/13,-16.1,145.95,27.8324,0,0,0
4/28/13,-16.1,145.95,27.7815,0,0,0
4/29/13,-16.1,145.95,27.6875,0,0,0
4/30/13,-16.1,145.95,27.014,0,0,0
5/1/13,-16.1,145.95,26.7264,0,0,0
5/2/13,-16.1,145.95,26.8984,0,0,0
5/3/13,-16.1,145.95,27.0848,0,0,0
5/4/13,-16.1,145.95,27.0467,0,0,0
5/5/13,-16.1,145.95,26.9776,0,0,0
