Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
3/12/13,7.675,134.425,28.7956,0,0,0
3/13/13,7.675,134.425,28.9223,0,0,0
3/14/13,7.675,134.425,29.2325,0,0,0
3/15/13,7.675,134.425,29.2361,0.0059,0,0
3/16/13,7.675,134.425,28.9753,0,0,0
3/17/13,7.675,134.425,29.0615,0,0,0
3/18/13,7.675,134.425,29.2884,0.0737,0,0
3/19/13,7.675,134.425,28.8458,0,0,0
3/20/13,7.675,134.425,29.1994,0,0,0
3/21/13,7.675,134.425,29.6056,0.3968,0,0
3/22/13,7.675,134.425,29.3917,0.1814,0,0
3/23/13,7.675,134.425,29.0815,0,0,0
3/24/13,7.675,134.425,29.7384,0.5505,0,0
3/25/13,7.675,134.425,29.325,0.1103,0,0
3/26/13,7.675,134.425,29.2797,0,0,0
3/27/13,7.675,134.425,29.3157,0.0998,0,0
3/28/13,7.675,134.425,29.1098,0,0,0
3/29/13,7.675,134.425,29.7642,0.5446,0,0
3/30/13,7.675,134.425,29.187,0,0,0
3/31/13,7.675,134.425,29.0978,0,0,0
4/1/13,7.675,134.425,29.1826,0,0,0
4/2/13,7.675,134.425,29.1798,0,0,0
4/3/13,7.675,134.425,29.4875,0.2915,0,0
4/4/13,7.675,134.425,29.5127,0.2387,0,0
4/5/13,7.675,134.425,29.6367,0.4497,0,0
4/6/13,7.675,134.425,29.4383,0.2258,0,0
4/7/13,7.675,134.425,29.4376,0.2529,0,0
4/8/13,7.675,134.425,29.2897,0.0673,0,0
4/9/13,7.675,134.425,29.8185,0.6178,0,0
4/10/13,7.675,134.425,29.2625,0.0814,0,0
4/11/13,7.675,134.425,29.1801,0,0,0
4/12/13,7.675,134.425,29.3313,0.122,0,0
4/13/13,7.675,134.425,29.441,0.2526,0,0
4/14/13,7.675,134.425,29.1837,0,0,0
4/15/13,7.675,134.425,29.2448,0.0504,0,0
4/16/13,7.675,134.425,29.4262,0.2282,0,0
4/17/13,7.675,134.425,29.4976,0.3214,0,0
4/18/13,7.675,134.425,29.9072,0.6633,0,0
4/19/13,7.675,134.425,29.8329,0.6359,0,0
4/20/13,7.675,134.425,29.6292,0.3879,0,0
4/21/13,7.675,134.425,29.787,0.5148,0,0
4/22/13,7.675,134.425,29.9468,0.6994,0,0
4/23/13,7.675,134.425,29.3676,0.1491,0,0
4/24/13,7.675,134.425,29.856,0.6594,0,0
4/25/13,7.675,134.425,29.8576,0.6437,0,0
4/26/13,7.675,134.425,29.8412,0.6335,0,0
4/27/13,7.675,134.425,29.6734,0.4424,0,0
4/28/13,7.675,134.425,29.7815,0.5609,0,0
4/29/13,7.675,134.425,29.7779,0.5484,0,0
4/30/13,7.675,134.425,29.9691,0.7606,0,0
5/1/13,7.675,134.425,30.0949,0.8802,0,0
5/2/13,7.675,134.425,30.0499,0.8254,0,0
5/3/13,7.675,134.425,30.2089,0.9776,0,0
