code,Longitude,Latitude,sample size,minimum age,maximum age,mean age,AS,Plasmodium sp,P falciparum
5,9.93,0.36,3,57,59,58,0,2,0
12,10.06,0.28,9,24,60,47.2,3,7,6
14,10,0.3,9,19,61,38.9,3,4,2
16,10.06,0.32,10,24,62,46.7,2,8,6
19,10.15,0.49,20,31,65,48.2,5,18,16
20,9.97,0.43,22,18,65,41.9,6,20,19
26,10.12,0.43,5,18,55,36.8,3,5,0
30,10.08,0.44,4,34,62,49.2,2,4,0
31,10.26,0.59,20,19,63,43.4,2,12,8
39,10.26,0.05,8,49,64,57.8,3,8,7
45,10.33,-0.22,10,24,65,52.8,3,5,0
48,10.34,-0.09,18,22,65,45.2,9,11,6
49,10.35,-0.15,9,23,65,47.8,2,6,1
53,10.39,-0.02,18,28,55,40.7,3,9,3
56,10.33,-0.02,15,21,61,48.4,3,7,6
62,10.32,-0.01,19,23,53,43.3,6,16,13
67,10.17,0.1,4,43,62,51.8,2,3,1
76,9.74,0.52,13,38,65,48.8,5,7,4
77,9.68,0.62,7,23,65,41.3,2,4,2
78,9.73,0.2,21,22,64,42.1,5,11,10
82,9.38,0.55,12,19,65,47.3,2,7,5
85,9.64,0.7,8,25,62,49,3,3,3
86,9.64,0.69,9,20,65,43.9,1,3,3
88,9.6,0.84,8,33,62,49.4,3,6,6
90,9.58,0.87,10,30,63,48.5,1,10,7
92,9.64,0.81,4,39,49,42.5,1,3,1
132,14.18,-1.74,22,22,69,52.4,3,5,0
135,14.19,-0.86,18,16,60,38.4,0,13,7
144,14.02,-1.59,24,17,60,48.3,5,6,3
159,13.09,-1.7,11,34,60,51.1,0,2,0
179,13.77,-1.33,26,22,60,46.3,8,17,13
180,13.78,-1.56,22,23,60,49.9,4,15,10
198,12.97,-1.94,14,22,60,44.6,5,14,13
212,13.82,-1.02,16,22,60,43.3,3,9,8
216,13.61,-2.01,12,22,62,48.7,1,9,4
230,13.72,-0.16,22,20,63,46.1,3,9,4
233,13.77,-0.35,18,30,63,44.6,1,5,4
243,13.54,-1.17,23,20,60,46.3,0,4,3
257,13.98,-0.83,15,20,60,38.1,0,5,4
261,13.54,-1.35,15,22,60,41.7,2,6,2
263,13.53,-1.42,18,18,60,45.9,3,5,3
277,13.61,-1.82,35,17,60,38.6,3,17,3
290,13.74,-1.74,24,23,60,48.1,1,10,5
291,13.83,-1.79,24,18,68,48.2,4,13,6
295,10.32,-0.67,21,23,65,45.3,1,9,5
299,10.36,-0.74,8,21,65,54.2,2,5,4
301,10.37,-0.83,19,15,64,31.7,3,18,16
303,10.42,-0.89,11,18,65,41.8,2,8,7
307,10.38,-0.85,9,23,56,34.7,1,5,5
309,10.3,-0.72,24,24,65,48.5,6,12,7
310,10.32,-0.66,16,23,65,43.1,0,11,8
345,10.12,-0.82,30,25,66,48.5,3,4,1
350,9.94,-0.8,15,22,65,49.1,1,1,0
355,10.18,-0.84,13,20,65,49,1,5,1
370,10.33,-0.42,16,18,65,44.4,4,4,1
381,10.24,-0.52,19,18,65,42.1,4,8,7
382,10.35,-0.37,6,21,57,36,1,3,3
384,10.27,-0.51,25,24,65,46.8,10,11,3
389,10.22,-0.64,12,19,65,48.9,3,8,7
395,10.37,-0.31,10,32,65,49,0,6,1
399,10.21,-0.53,29,29,65,56.9,10,20,10
439,10.07,-0.98,21,32,68,51.4,2,17,5
444,10.05,-0.92,34,18,65,39.1,3,11,10
452,10.03,-0.89,10,20,64,43.1,2,3,3
454,10.13,-0.97,22,21,74,46.4,3,8,1
457,10.06,-0.98,11,23,69,52.4,0,0,0
535,11.2,0.22,25,21,51,33.6,8,21,18
540,11,-0.03,6,25,65,49.3,0,5,5
541,11.03,0.05,13,21,65,47.2,4,9,6
542,11.09,0.09,15,21,65,47.2,3,10,7
554,10.45,-0.27,21,18,69,44.7,3,14,2
555,10.48,-0.27,94,20,72,47.6,20,37,24
556,10.52,-0.24,18,20,65,51.6,6,13,6
571,12.03,-2.01,9,35,65,58.1,1,7,5
598,11.58,-2.1,30,27,65,45.9,9,27,18
605,11.47,-2.42,30,25,65,53.6,9,10,7
606,11.59,-2.66,28,18,65,47.8,16,17,15
607,11.3,-2.33,21,20,65,46.8,7,15,12
618,11.18,-2.12,17,18,65,48.5,2,16,7
622,11.3,-2.42,24,20,65,46.5,8,9,7
